Timestep 1/1000, Loss: 0.1664
Timestep 2/1000, Loss: 0.1093
Timestep 3/1000, Loss: 0.0953
Timestep 4/1000, Loss: 0.0881
Timestep 5/1000, Loss: 0.0860
Timestep 6/1000, Loss: 0.0785
Timestep 7/1000, Loss: 0.0754
Timestep 8/1000, Loss: 0.0737
Timestep 9/1000, Loss: 0.0699
Timestep 10/1000, Loss: 0.0693
Timestep 11/1000, Loss: 0.0675
Timestep 12/1000, Loss: 0.0677
Timestep 13/1000, Loss: 0.0637
Timestep 14/1000, Loss: 0.0637
Timestep 15/1000, Loss: 0.0623
Timestep 16/1000, Loss: 0.0624
Timestep 17/1000, Loss: 0.0591
Timestep 18/1000, Loss: 0.0549
Timestep 19/1000, Loss: 0.0589
Timestep 20/1000, Loss: 0.0540
Timestep 21/1000, Loss: 0.0556
Timestep 22/1000, Loss: 0.0522
Timestep 23/1000, Loss: 0.0538
Timestep 24/1000, Loss: 0.0517
Timestep 25/1000, Loss: 0.0522
Timestep 26/1000, Loss: 0.0487
Timestep 27/1000, Loss: 0.0499
Timestep 28/1000, Loss: 0.0504
Timestep 29/1000, Loss: 0.0499
Timestep 30/1000, Loss: 0.0475
Timestep 31/1000, Loss: 0.0466
Timestep 32/1000, Loss: 0.0464
Timestep 33/1000, Loss: 0.0479
Timestep 34/1000, Loss: 0.0470
Timestep 35/1000, Loss: 0.0439
Timestep 36/1000, Loss: 0.0453
Timestep 37/1000, Loss: 0.0439
Timestep 38/1000, Loss: 0.0449
Timestep 39/1000, Loss: 0.0434
Timestep 40/1000, Loss: 0.0437
Timestep 41/1000, Loss: 0.0443
Timestep 42/1000, Loss: 0.0433
Timestep 43/1000, Loss: 0.0428
Timestep 44/1000, Loss: 0.0407
Timestep 45/1000, Loss: 0.0408
Timestep 46/1000, Loss: 0.0409
Timestep 47/1000, Loss: 0.0423
Timestep 48/1000, Loss: 0.0401
Timestep 49/1000, Loss: 0.0408
Timestep 50/1000, Loss: 0.0402
Timestep 51/1000, Loss: 0.0402
Timestep 52/1000, Loss: 0.0389
Timestep 53/1000, Loss: 0.0387
Timestep 54/1000, Loss: 0.0398
Timestep 55/1000, Loss: 0.0395
Timestep 56/1000, Loss: 0.0382
Timestep 57/1000, Loss: 0.0396
Timestep 58/1000, Loss: 0.0390
Timestep 59/1000, Loss: 0.0365
Timestep 60/1000, Loss: 0.0382
Timestep 61/1000, Loss: 0.0385
Timestep 62/1000, Loss: 0.0378
Timestep 63/1000, Loss: 0.0358
Timestep 64/1000, Loss: 0.0365
Timestep 65/1000, Loss: 0.0354
Timestep 66/1000, Loss: 0.0373
Timestep 67/1000, Loss: 0.0364
Timestep 68/1000, Loss: 0.0352
Timestep 69/1000, Loss: 0.0349
Timestep 70/1000, Loss: 0.0357
Timestep 71/1000, Loss: 0.0350
Timestep 72/1000, Loss: 0.0356
Timestep 73/1000, Loss: 0.0350
Timestep 74/1000, Loss: 0.0347
Timestep 75/1000, Loss: 0.0338
Timestep 76/1000, Loss: 0.0349
Timestep 77/1000, Loss: 0.0335
Timestep 78/1000, Loss: 0.0351
Timestep 79/1000, Loss: 0.0336
Timestep 80/1000, Loss: 0.0338
Timestep 81/1000, Loss: 0.0324
Timestep 82/1000, Loss: 0.0338
Timestep 83/1000, Loss: 0.0343
Timestep 84/1000, Loss: 0.0332
Timestep 85/1000, Loss: 0.0336
Timestep 86/1000, Loss: 0.0316
Timestep 87/1000, Loss: 0.0318
Timestep 88/1000, Loss: 0.0326
Timestep 89/1000, Loss: 0.0328
Timestep 90/1000, Loss: 0.0313
Timestep 91/1000, Loss: 0.0317
Timestep 92/1000, Loss: 0.0316
Timestep 93/1000, Loss: 0.0305
Timestep 94/1000, Loss: 0.0309
Timestep 95/1000, Loss: 0.0324
Timestep 96/1000, Loss: 0.0332
Timestep 97/1000, Loss: 0.0317
Timestep 98/1000, Loss: 0.0323
Timestep 99/1000, Loss: 0.0307
Timestep 100/1000, Loss: 0.0316
Timestep 101/1000, Loss: 0.0302
Timestep 102/1000, Loss: 0.0312
Timestep 103/1000, Loss: 0.0313
Timestep 104/1000, Loss: 0.0311
Timestep 105/1000, Loss: 0.0306
Timestep 106/1000, Loss: 0.0322
Timestep 107/1000, Loss: 0.0306
Timestep 108/1000, Loss: 0.0302
Timestep 109/1000, Loss: 0.0297
Timestep 110/1000, Loss: 0.0296
Timestep 111/1000, Loss: 0.0299
Timestep 112/1000, Loss: 0.0290
Timestep 113/1000, Loss: 0.0295
Timestep 114/1000, Loss: 0.0298
Timestep 115/1000, Loss: 0.0303
Timestep 116/1000, Loss: 0.0292
Timestep 117/1000, Loss: 0.0302
Timestep 118/1000, Loss: 0.0291
Timestep 119/1000, Loss: 0.0284
Timestep 120/1000, Loss: 0.0302
Timestep 121/1000, Loss: 0.0303
Timestep 122/1000, Loss: 0.0291
Timestep 123/1000, Loss: 0.0301
Timestep 124/1000, Loss: 0.0290
Timestep 125/1000, Loss: 0.0303
Timestep 126/1000, Loss: 0.0282
Timestep 127/1000, Loss: 0.0290
Timestep 128/1000, Loss: 0.0295
Timestep 129/1000, Loss: 0.0282
Timestep 130/1000, Loss: 0.0285
Timestep 131/1000, Loss: 0.0281
Timestep 132/1000, Loss: 0.0297
